===== seg01 | Exhibit header and initial definitions | range s000001–s000049 | score=0.5 =====
Rationale: Introduces key pricing terms (Applicable Margin, Base Rate, Benchmark) and framework definitions necessary to interpret the pricing engine, but contains no actual rates, margins, or formula mechanics.
Summary: Introductory exhibit header, signatories, and the opening of definitions surrounding the term loan framework.
Tags: exhibit, header, definitions

⟦s000001⟧ EXHIBIT 4.
⟦s000002⟧ 1
⟦s000003⟧ Execution Version
⟦s000004⟧ TERM LOAN CREDIT AGREEMENT
⟦s000005⟧ Dated as of December 29, 2023
⟦s000006⟧ among
⟦s000007⟧ LANDS’ END, INC. , as the Borrower,
⟦s000008⟧ BLUE TORCH FINANCE LLC, as Administrative Agent and Collateral Agent,
⟦s000009⟧ and
⟦s000010⟧ The Lenders Party Hereto
⟦s000011⟧ |US-DOCS\146917602.
⟦s000012⟧ 19||
⟦s000013⟧ TABLE OF CONTENTS
⟦s000014⟧ Section: Page
⟦s000015⟧ ```markdown
| Article I Definitions and Accounting Terms | Column 2 | Column 3 |
| 2.15 | Defaulting Lenders | 64 |
| Article III Taxes, Yield Protection and Illegality |  |  |
| 3.1 | Taxes | 65 |
| 3.2 | Illegality | 68 |
| 3.3 | Inability to Determine Rates | 69 |
| 3.4 | Increased Costs; Reserves on SOFR Loans | 69 |
| 3.5 | Compensation for Losses | 70 |
| 3.6 | Mitigation Obligations; Replacement of Lenders | 71 |
| 3.7 | Survival | 71 |
```
⟦s000016⟧ - i - ||
⟦s000017⟧ Section: Page
⟦s000018⟧ ```markdown
| Article IV Conditions Precedent to Credit Extensions | Column 2 | Column 3 |
| --- | --- | --- |
| 4.1 | Conditions of Initial Credit Extension | 71 |
| Article V Representations and Warranties |  |  |
| 5.1 | Existence, Qualification and Power | 74 |
| 5.2 | Authorization; No Contravention | 74 |
| 5.3 | Governmental Authorization; Other Consents | 75 |
| 5.4 | Binding Effect | 75 |
| 5.5 | Financial Statements; No Material Adverse Effect | 75 |
| 5.6 | Litigation | 75 |
| 5.7 | [Reserved] | 75 |
| 5.8 | Ownership of Property; Liens | 76 |
| 5.9 | Environmental Compliance | 76 |
| 5.10 | Insurance | 76 |
| 5.11 | Taxes | 77 |
| 5.12 | ERISA Compliance | 77 |
| 5.13 | Subsidiaries; Equity Interests | 78 |
| 5.14 | Margin Regulations; Investment Company Act | 78 |
| 5.15 | Disclosure | 78 |
| 5.16 | Compliance with Laws | 79 |
| 5.17 | Intellectual Property; Licenses, Etc. | 79 |
| 5.18 | Labor Matters | 79 |
| 5.19 | Security Documents | 79 |
| 5.20 | Solvency | 80 |
| 5.21 | Reserved | 80 |
| 5.22 | Brokers | 80 |
| 5.23 | Customer and Trade Relations | 80 |
| 5.24 | Reserved | 80 |
| 5.25 | Casualty | 80 |
| 5.26 | OFAC/Sanctions; Anti-Corruption Laws; Anti-Money Laundering Laws | 80 |
| 5.27 | Patriot Act | 81 |
| Article VI Affirmative Covenants |  |  |
| 6.1 | Financial Statements | 81 |
| 6.2 | Certificates; Other Information | 82 |
| 6.3 | Notices | 83 |
| 6.4 | Payment of Taxes | 84 |
| 6.5 | Preservation of Existence, Etc. | 85 |
| 6.6 | Maintenance of Properties | 85 |
| 6.7 | Maintenance of Insurance | 85 |
| 6.8 | Compliance with Laws | 86 |
| 6.9 | Books and Records; Accountants | 86 |
| 6.10 | Inspection Rights | 86 |
| 6.11 | Additional Guarantors | 86 |
| 6.12 | Board Materials | 87 |
```
⟦s000019⟧ - ii -
⟦s000020⟧ Section: Page
⟦s000021⟧ ```markdown
| 6.13 | Information Regarding the Collateral | 87 |
| --- | --- | --- |
| 6.14 | [Reserved] | 87 |
| 6.15 | Post-Closing Actions Relating to Collateral | 87 |
| 6.16 | Further Assurances. | 88 |
| 6.17 | Compliance with Terms of Leaseholds | 88 |
| 6.18 | [Reserved]. | 88 |
| 6.19 | [Reserved] | 88 |
| 6.20 | OFAC; Sanctions; Anti-Corruption Laws; Anti-Money Laundering Laws | 88 |
| 6.21 | Conference Calls | 89 |
| Article VII Negative Covenants |  |  |
| 7.1 | Liens | 89 |
| 7.2 | Investments | 89 |
| 7.3 | Indebtedness | 89 |
| 7.4 | Fundamental Changes | 89 |
| 7.5 | Dispositions | 90 |
| 7.6 | Restricted Payments | 90 |
| 7.7 | Prepayments of Indebtedness | 92 |
| 7.8 | Change in Nature of Business | 92 |
| 7.9 | Transactions with Affiliates | 92 |
| 7.10 | Burdensome Agreements | 93 |
| 7.11 | Use of Proceeds | 93 |
| 7.12 | Amendment of Organization Documents and Material Indebtedness | 93 |
| 7.13 | Fiscal Year | 94 |
| 7.14 | Reserved | 94 |
| 7.15 | Financial Covenants | 94 |
| Article VIII Events of Default and Remedies |  |  |
| 8.1 | Events of Default | 95 |
| 8.2 | Remedies Upon Event of Default | 97 |
| 8.3 | Application of Funds | 98 |
| Article IX The Agent |  |  |
| 9.1 | Appointment and Authority | 99 |
| 9.2 | Rights as a Lender | 99 |
| 9.3 | Exculpatory Provisions | 99 |
| 9.4 | Reliance by Agent | 100 |
| 9.5 | Delegation of Duties | 100 |
| 9.6 | Resignation of Agent | 100 |
| 9.7 | Non-Reliance on Agent and Other Lenders | 101 |
| 9.8 | Certain ERISA Matters. | 101 |
| 9.9 | Agent May File Proofs of Claim; Credit Bidding | 102 |
| 9.10 | Collateral and Guaranty Matters | 103 |
| 9.11 | Notice of Transfer | 104 |
| 9.12 | Agency for Perfection | 104 |
```
⟦s000022⟧ - iii -
⟦s000023⟧ Section: Page
⟦s000024⟧ ```markdown
| 9.13 | Indemnification of Agent | 104 |
| --- | --- | --- |
| 9.14 | Relation among Lenders | 104 |
| 9.15 | German Collateral Matters | 104 |
| 9.16 | Parallel Debt (Covenant to Pay the Agent) | 106 |
| Article X Miscellaneous |  |  |
| 10.1 | Amendments, Etc. | 107 |
| 10.2 | Notices; Effectiveness; Electronic Communications | 109 |
| 10.3 | No Waiver; Cumulative Remedies | 110 |
| 10.4 | Expenses; Indemnity; Damage Waiver | 111 |
| 10.5 | Payments Set Aside | 112 |
| 10.6 | Successors and Assigns | 112 |
| 10.7 | [Reserved] | 116 |
| 10.8 | Treatment of Certain Information; Confidentiality | 116 |
| 10.9 | Right of Setoff | 117 |
| 10.10 | Interest Rate Limitation | 117 |
| 10.11 | Counterparts; Integration; Effectiveness | 117 |
| 10.12 | Survival | 118 |
| 10.13 | Severability | 118 |
| 10.14 | Replacement of Lenders | 118 |
| 10.15 | Governing Law; Jurisdiction; Etc. | 119 |
| 10.16 | Waiver of Jury Trial | 120 |
| 10.17 | No Advisory or Fiduciary Responsibility | 120 |
| 10.18 | USA PATRIOT Act Notice | 120 |
| 10.19 | Foreign Asset Control Regulations | 121 |
| 10.20 | Time of the Essence | 121 |
| 10.21 | Press Releases | 121 |
| 10.22 | Releases | 121 |
| 10.23 | No Strict Construction | 122 |
| 10.24 | Attachments | 122 |
| 10.25 | Electronic Execution of Assignments and Certain Other Documents | 122 |
| 10.26 | Intercreditor Agreement | 123 |
| 10.27 | Additional Waivers. | 123 |
| 10.28 | Acknowledgement and Consent to Bail-In of EEA Financial Institutions | 124 |
| 10.29 | Additional Lender Acknowledgement | 124 |
```
⟦s000025⟧ - iv -
⟦s000026⟧ SCHEDULES
⟦s000027⟧ 1.
⟦s000028⟧ 1(a) Fiscal Months
⟦s000029⟧ 1.
⟦s000030⟧ 1(b) Fiscal Quarters
⟦s000031⟧ 1.
⟦s000032⟧ 1(c) Fiscal Years
⟦s000033⟧ 1.
⟦s000034⟧ 1(d) Exclusive Licensing Definitions
⟦s000035⟧ 2.
⟦s000036⟧ 1 Commitments
⟦s000037⟧ 5.
⟦s000038⟧ 18 Collective Bargaining Agreements
⟦s000039⟧ 5.
⟦s000040⟧ 22 Brokers
⟦s000041⟧ 6.
⟦s000042⟧ 15 Post-Closing Actions Relating to Collateral
⟦s000043⟧ 7.
⟦s000044⟧ 1 Existing Liens
⟦s000045⟧ 7.
⟦s000046⟧ 2 Existing Investments
⟦s000047⟧ 7.
⟦s000048⟧ 3 Existing Indebtedness
⟦s000049⟧ 7.

===== seg02 | Table of Contents and early terms | range s000050–s000099 | score=0.5 =====
Rationale: Provides definitions/structure for pricing terms (e.g., Base Rate, Applicable Margin, Benchmark) necessary to interpret pricing, but does not disclose the actual pricing mechanics (rates, margins, ladders, or fallback logic).
Summary: Table of Contents and early definitions that set up the structure for Articles I and II.
Tags: definitions, structure, terms

⟦s000050⟧ 5 Intellectual Property Licenses
⟦s000051⟧ 7.
⟦s000052⟧ 6 Existing Restricted Payments
⟦s000053⟧ 7.
⟦s000054⟧ 9 Transactions with Affiliates
⟦s000055⟧ 10.
⟦s000056⟧ 2 Agent’s Office; Certain Addresses for Notices
⟦s000057⟧ EXHIBITS
⟦s000058⟧ Form of
⟦s000059⟧ A Committed Loan Notice
⟦s000060⟧ B [Reserved]
⟦s000061⟧ C Note
⟦s000062⟧ D Compliance Certificate
⟦s000063⟧ E Assignment and Assumption
⟦s000064⟧ F-1 U.
⟦s000065⟧ S.
⟦s000066⟧ Tax Compliance Certificate (For Foreign Lenders That Are Not Partnerships For U.
⟦s000067⟧ S.
⟦s000068⟧ Federal Income Tax Purposes)
⟦s000069⟧ F-2 U.
⟦s000070⟧ S.
⟦s000071⟧ Tax Compliance Certificate (For Foreign Participants That Are Not Partnerships For U.
⟦s000072⟧ S.
⟦s000073⟧ Federal Income Tax Purposes)
⟦s000074⟧ F-3 U.
⟦s000075⟧ S.
⟦s000076⟧ Tax Compliance Certificate (For Foreign Participants That Are Partnerships For U.
⟦s000077⟧ S.
⟦s000078⟧ Federal Income Tax Purposes)
⟦s000079⟧ F-4 U.
⟦s000080⟧ S.
⟦s000081⟧ Tax Compliance Certificate (For Foreign Lenders That Are Partnerships For U.
⟦s000082⟧ S.
⟦s000083⟧ Federal Income Tax Purposes)
⟦s000084⟧ The exhibits and schedules have been omitted pursuant to Item 601(a)(5) of Regulation S-K under the Securities Act of 1933, as amended.
⟦s000085⟧ The registrant agrees to furnish supplementally a copy of all omitted exhibits and schedules to the Securities and Exchange Commission upon request.
⟦s000086⟧ - v -
⟦s000087⟧ TERM LOAN CREDIT AGREEMENT
⟦s000088⟧ This TERM LOAN CREDIT AGREEMENT is entered into as of December 29, 2023, among LANDS’ END, INC. , a Delaware corporation (the “ Borrower ”), each Person from time to time party hereto as a lender (collectively, the “ Lenders ” and individually, a “ Lender ”) and BLUE TORCH FINANCE LLC , as administrative agent and collateral agent.
⟦s000089⟧ W I T N E S S E T H:
⟦s000090⟧ The Borrower has requested that the Lenders provide a term loan credit facility, and the Lenders have indicated their willingness to lend on the terms and conditions set forth herein.
⟦s000091⟧ The proceeds of the Loans made on the Closing Date will be used for working capital and other general corporate purposes of the Loan Parties and to refinance Indebtedness under the Existing Term Loan Agreement.
⟦s000092⟧ In consideration of the mutual covenants and agreements herein contained, the parties hereto covenant and agree as follows:
⟦s000093⟧ Article I Definitions and Accounting Terms
⟦s000094⟧ 1.
⟦s000095⟧ 1 Defined Terms .
⟦s000096⟧ As used in this Agreement, the following terms shall have the meanings set forth below:
⟦s000097⟧ “ ABL Agent ” has the meaning assigned to such term in the ABL Intercreditor Agreement.
⟦s000098⟧ “ ABL Credit Agreement ” has the meaning assigned to such term in the ABL Intercreditor Agreement.
⟦s000099⟧ “ ABL Facility ” means the revolving facility pursuant to that certain ABL Credit Agreement.

===== seg03 | Pricing mechanics and Basis for interest | range s000100–s000149 | score=0.5 =====
Rationale: Gives definitions and framework for pricing mechanics (Base Rate/SOFR, Benchmark, Applicable Margin bands), which are necessary to interpret pricing, but does not provide concrete rate/margin tables or explicit tier logic.
Summary: Definitions covering pricing mechanics including Base Rate, SOFR, Benchmark, and Applicable Margin bands.
Tags: Pricing mechanics, Base Rate, SOFR, Benchmark Replacement, Applicable Margin

⟦s000100⟧ “ ABL Intercreditor Agreement ” means (a) that certain Intercreditor Agreement, dated as of December 29, 2023, among the Agent as “Term Agent”, the ABL Agent and the applicable Loan Parties, as may be amended, restated, or otherwise modified in accordance with the terms of such agreement from time to time or (b) a customary intercreditor agreement in form and substance reasonably acceptable to the Agent and the Borrower entered into as a replacement of the ABL Intercreditor Agreement specified in clause (a) in connection with a Refinancing of the ABL Facility in accordance with the terms hereof and of the ABL Intercreditor Agreement.
⟦s000101⟧ “ ABL Lender ” has the meaning assigned to such term in the ABL Intercreditor Agreement.
⟦s000102⟧ “ ABL Loan Document ” has the meaning assigned to the term “ABL Documents” as defined in the ABL Intercreditor Agreement.
⟦s000103⟧ “ ABL Loan Party ” has the meaning assigned to such term in the ABL Intercreditor Agreement.
⟦s000104⟧ “ ABL Obligations ” shall mean all “ABL Obligations” or similar term as defined in the ABL Intercreditor Agreement.
⟦s000105⟧ “ ABL Priority Collateral ” has the meaning assigned to the term “ABL Priority Collateral” as defined in the ABL Intercreditor Agreement.
⟦s000106⟧ “ ABL Secured Parties ” has the meaning assigned to such term in the ABL Intercreditor Agreement.
⟦s000107⟧ “ Account ” means “accounts” as defined in the UCC, and also means a right to payment of a monetary obligation, whether or not earned by performance, (a) for property that has been or is to be sold, leased, licensed, assigned, or otherwise disposed of, or (b) for services rendered or to be rendered.
⟦s000108⟧ “ ACH ” means automated clearing house transfers.
⟦s000109⟧ “ Acquired EBITDA ” means, with respect to any Acquired Entity or Business for any period, the amount for such period of Consolidated EBITDA of such Acquired Entity or Business all as determined on a consolidated basis for such Acquired Entity or Business, as applicable.
⟦s000110⟧ “ Acquired Entity or Business ” means any Person, property, business or asset acquired by the Borrower or any Restricted Subsidiary during any period to the extent not subsequently sold, transferred or otherwise disposed of by the Borrower or such Restricted Subsidiary during such period.
⟦s000111⟧ “ Acquisition ” means, with respect to any Person (a) a purchase of a Controlling interest in the Equity Interests of any other Person, (b) a purchase or other acquisition of all or substantially all of the assets or properties of another Person or of any business unit, division or line of business of another Person, or (c) any merger or consolidation of such Person with any other Person or other transaction or series of transactions resulting in the acquisition of all or substantially all of the assets, or of any business unit, division or line of business, of another Person, or a Controlling interest in the Equity Interests, of any other Person, in each case in any transaction or series of transactions which are part of a common plan but in each case excluding any acquisition solely of Store locations or other interests in real property.
⟦s000112⟧ “ Administrative Questionnaire ” means an Administrative Questionnaire in a form supplied by the Agent.
⟦s000113⟧ “ Affiliate ” means, with respect to any Person, (i) another Person that directly, or indirectly through one or more intermediaries, Controls or is Controlled by or is under common Control with the Person specified, and (ii) any director, officer, managing member, partner, trustee, or beneficiary of that Person.
⟦s000114⟧ “ Agent ” means Blue Torch Finance LLC in its capacity as administrative agent and collateral agent under any of the Loan Documents, or any successor thereto.
⟦s000115⟧ “ Agent’s Office ” means the Agent’s address and, as appropriate, account as set forth on Schedule 10.
⟦s000116⟧ 2 , or such other address or account as the Agent may from time to time notify the Borrower and the Lenders.
⟦s000117⟧ “ Agent Parties ” shall have the meaning specified in Section 10.
⟦s000118⟧ 2(c) .
⟦s000119⟧ “ Agreement ” means this Term Loan Credit Agreement as it may be amended, restated, supplemented or otherwise modified from time to time.
⟦s000120⟧ - 2 -
⟦s000121⟧ “ Anti-Corruption Laws ” means the FCPA, the U.
⟦s000122⟧ K.
⟦s000123⟧ Bribery Act of 2010, as amended, and all other applicable laws and regulations or ordinances concerning or relating to bribery or corruption.
⟦s000124⟧ “ Anti-Money Laundering Laws ” means the applicable laws or regulations that relates to money laundering or any financial record keeping and reporting requirements related thereto.
⟦s000125⟧ “ Applicable Lenders ” means the Required Lenders, all affected Lenders, or all Lenders, as the context may require.
⟦s000126⟧ “ Applicable Margin ” means the applicable rate per annum set forth below, based on the Total Leverage Ratio as of the last day of each Measurement Period:
⟦s000127⟧ ```markdown
| Pricing level | Total Leverage Ratio | Base Rate Loans | SOFR Loans |
| --- | --- | --- | --- |
| I | ≥ 2.75 to 1.00 | 7.25% | 8.25% |
| II | < 2.75 to 1.00 and ≥ 2.25 to 1.00 | 7.00% | 8.00% |
| III | < 2.25 to 1.00 | 6.75% | 7.75% |
```
⟦s000128⟧ From the Closing Date until the date the Borrower delivers the financial statements, certificates and/or other information required to be delivered under Sections 6.
⟦s000129⟧ 1(b) and 6.
⟦s000130⟧ 2(a) for the Fiscal Quarter ending May 3, 2024, the Applicable Margin shall be conclusively presumed to equal the Applicable Margin specified in “Tier I” of the pricing table set forth above.
⟦s000131⟧ Thereafter, the Applicable Margin shall be adjusted quarterly upon delivery to Administrative Agent of the financial statements for Fiscal Quarter required to be delivered pursuant to Section 6.
⟦s000132⟧ 1(b) hereof accompanied by a Compliance Certificate with a written calculation of the Total Leverage Ratio.
⟦s000133⟧ If such calculation indicates that the Applicable Margin shall increase or decrease, then on the first Business Day following the date of delivery of such financial statements and a Compliance Certificate with such written calculation, the Applicable Margin shall be adjusted in accordance therewith.
⟦s000134⟧ If the Borrower shall fail to deliver the financial statements, certificates and/or other information required to be delivered under Sections 6.
⟦s000135⟧ 1 and 6.
⟦s000136⟧ 2 by the dates required pursuant to such sections, the Applicable Margin shall be conclusively presumed to equal the Applicable Margin specified in “Tier I” of the pricing table set forth above until the date of delivery of such financial statements, certificates and/or other information, at which time the rate will be adjusted based upon the Total Leverage Ratio calculated pursuant to such financial statements.
⟦s000137⟧ “ Applicable Percentage ” means, at any time (a) with respect to any Lender with a Commitment, the percentage equal to a fraction the numerator of which is the amount of such Lender’s Commitment at such time and the denominator of which is the aggregate amount of all Commitments of all Lenders, and (b) with respect to the Loans, a percentage equal to a fraction the numerator of which is such Lender’s Outstanding Amount of the Loans and the denominator of which is the aggregate Outstanding Amount of all Loans.
⟦s000138⟧ - 3 -
⟦s000139⟧ “ Applicable Prepayment Premium ” shall mean, with respect to any prepayments of the principal of the Loan in connection with a Prepayment Event occurring prior to the fourth anniversary of the Closing Date, a premium equal to: (a) on any date on or prior to the date that is twelve (12) months after the Closing Date, payment of all interest that would have accrued on the Loans (assuming no change in Term SOFR, and if a Default exists at the time of calculation, assuming that the Default Rate applies) until the date that is twelve (12) months after the Closing Date, plus a premium of three percent (3.
⟦s000140⟧ 00%) of the principal amount of the Loan so prepaid, repaid, refinanced or amended, (b) after the date that is twelve (12) months after the Closing Date but on or prior to the date that is twenty-four (24) months after the Closing Date (or if such date is not a Business Day, the previous Business Day), two percent (2.
⟦s000141⟧ 00%) of the principal amount of the Loan so prepaid, repaid, refinanced or amended, (c) after the date that is twenty-four (24) months after the Closing Date but on or prior to the date that is thirty-six (36) months after the Closing Date (or if such date is not a Business Day, the previous Business Day), one percent (1.
⟦s000142⟧ 00%) of the principal amount of the Loan so prepaid, repaid, refinanced or amended and (d) after the date that is thirty-six (36) months after the Closing Date (or if such date is not a Business Day, the previous Business Day) but on or prior to the date that is forty-eight (48) months after the Closing Date, one-half percent (0.
⟦s000143⟧ 50%) of the principal amount of the Loan so prepaid, repaid, refinanced or amended, in each case, including such prepayment, repayment, refinancing or amendment in connection with (u) a Change of Control, (v) an acceleration of the Loan as a result of the occurrence of an Event of Default, (w) foreclosure and sale of, or collection of, the Collateral in connection with the exercise of remedies by the Agent and Lenders following an Event of Default, (x) sale of the Collateral in any Insolvency Proceeding of any Loan Party, (y) the restructure, reorganization, or compromise of the Loan by the confirmation of a plan of reorganization or any other plan of compromise, restructure, or arrangement in any Insolvency Proceeding of any Loan Party or any of its Subsidiaries, or (z) the termination of this Agreement for any reason (other than in connection with a repayment in full of the Obligations that would not otherwise constitute a Prepayment Event).
⟦s000144⟧ “ Approved Fund ” means any Fund that is administered or managed by (a) a Lender, (b) an Affiliate of a Lender (c) an entity or an Affiliate of an entity that administers or manages a Lender, or (d) the same investment advisor or an advisor under common control with such Lender, Affiliate or advisor, as applicable.
⟦s000145⟧ “ Asset Sale ” means any Disposition or series of related Dispositions involving assets with a fair market value in excess of $1,000,000 in the aggregate per Fiscal Year or $2,500,000 in the aggregate (other than (i) Dispositions permitted under clauses (a) , (b) , (c) , (d) , (e) , (f) , (g) , (h) , (i) , (j) , (k) , (l) , (m) , (n) , (o) , (q) or (r) of the definition of Permitted Dispositions and (ii) Dispositions permitted under clause (t) of the definition of Permitted Dispositions to the extent the aggregate amount of cash proceeds (whether constituting licensing fees, royalties or other payments made by the applicable third parties) received by the Loan Parties in any Fiscal Year shall not exceed $10,000,000 (it being understood that cash proceeds in excess of the foregoing basket shall constitute proceeds of an Asset Sale (such excess proceeds, “ Excess Licensing Proceeds ”)).
⟦s000146⟧ “ Assignee Group ” means two or more Eligible Assignees that are Affiliates of one another or two or more Approved Funds managed by the same investment advisor.
⟦s000147⟧ “ Assignment and Assumption ” means an assignment and assumption entered into by a Lender and an Eligible Assignee (with the consent of any party whose consent is required by Section 10.
⟦s000148⟧ 6(b) ), and accepted by the Agent, in substantially the form of Exhibit E or any other form approved by the Agent.
⟦s000149⟧ “ Attributable Indebtedness ” means, on any date, (a) in respect of any Capital Lease Obligation of any Person, the capitalized amount thereof that would appear on a balance sheet of such Person prepared as of such date in accordance with GAAP, and (b) in respect of any Synthetic Lease

===== seg04 | Asset sales, pro forma, and related pricing refinements | range s000150–s000199 | score=0.5 =====
Rationale: Provides definitions and concepts (e.g., Applicable Margin, Benchmark Replacement, Total Leverage Ratio) that affect pricing interpretation, but does not present concrete rate/margin formulas or tiers.
Summary: Definitions touching on Asset Sale concepts, Pro Forma Basis, and related adjustments impacting pricing.
Tags: Asset Sale, Pro Forma, Adjusted EBITDA, Pro Forma Basis

⟦s000150⟧ - 4 -
⟦s000151⟧ Obligation, the capitalized amount of the remaining lease or similar payments under the relevant lease or other applicable agreement or instrument that would appear on a balance sheet of such Person prepared as of such date in accordance with GAAP if such lease, agreement or instrument were accounted for as a capital lease.
⟦s000152⟧ “ Audited Financial Statements ” means the audited consolidated balance sheet of the Borrower and its Subsidiaries for the Fiscal Year ended January 27, 2023, and the related consolidated statements of income or operations, Shareholders’ Equity and cash flows for such Fiscal Year of the Borrower and its Subsidiaries, including the notes thereto.
⟦s000153⟧ “ Available Tenor ” means, as of any date of determination and with respect to the then-current Benchmark, as applicable, (x) if any such Benchmark is a term rate, any tenor for such Benchmark (or component thereof) that is or may be used for determining the length of an Interest Period pursuant to this Agreement or (y) otherwise, any payment period for interest calculated with reference to such Benchmark (or component thereof) that is or may be used for determining any frequency of making payments of interests calculated with reference to such Benchmark, in each case, as of such date and not including, for the avoidance of doubt, any tenor for such Benchmark that is then-removed from the definition of “Interest Period” pursuant to clause (e) of Section 2.
⟦s000154⟧ 14 .
⟦s000155⟧ “ Bail-In Action ” means the exercise of any Write-Down and Conversion Powers by the applicable EEA Resolution Authority in respect of any liability of an EEA Financial Institution.
⟦s000156⟧ “ Bail-In Legislation ” means, with respect to any EEA Member Country implementing Article 55 of Directive 2014/59/EU of the European Parliament and of the Council of the European Union, the implementing law for such EEA Member Country from time to time that is described in the EU Bail-In Legislation Schedule.
⟦s000157⟧ “ Base Rate ” means for any day a floating rate equal to the greater of (i) the Prime Rate in effect on such date (or, if The Wall Street Journal ceases quoting a Prime Rate of the type described, either (A) the per annum rate quoted as the base rate on such corporate loans in a different national publication as reasonably selected by the Agent or (B) the highest per annum rate of interest published by the Federal Reserve Board in Federal Reserve statistical release H.
⟦s000158⟧ 15 (519) entitled “ Selected Interest Rates ” as the bank prime loan rate or its equivalent), (ii) the Federal Funds Rate in effect on such day, provided that the Federal Funds Rate shall not be less 0.
⟦s000159⟧ 00 %, plus ½ of 1%, and (iii) Term SOFR for a one-month tenor in effect on such day (or if such day is not a Business Day, the immediately preceding Business Day) (taking into account the Floor) plus one percent (1.
⟦s000160⟧ 00%) per annum; provided , further , that if at any time Term SOFR is not available, Base Rate shall be calculated without reference to clause (c) above.
⟦s000161⟧ Changes in the rate of interest on that portion of any Loans maintained as Base Rate Loans will take effect one Business Day following each change in the Base Rate.
⟦s000162⟧ “ Base Rate Loan ” means a Loan that bears interest based on the Base Rate.
⟦s000163⟧ “ Base Rate SOFR Adjustment ” has the meaning specified in the definition of “Term SOFR”.
⟦s000164⟧ “ Base Rate Term SOFR Determination Day ” has the meaning specified in the definition of “Term SOFR”.
⟦s000165⟧ “ Benchmark ” means, initially, the Term SOFR Reference Rate; provided that if a Benchmark Transition Event has occurred with respect to the Term SOFR Reference Rate or the then-current Benchmark, then “Benchmark” means the applicable Benchmark Replacement to the extent that
⟦s000166⟧ - 5 -
⟦s000167⟧ such Benchmark Replacement has replaced such prior benchmark rate pursuant to clause (a) of Section 2.
⟦s000168⟧ 14 .
⟦s000169⟧ “ Benchmark Replacement ” means the first alternative set forth in the order below that can be determined by the Agent for the applicable Benchmark Replacement Date:
⟦s000170⟧ (a) Daily Simple SOFR; or
⟦s000171⟧ (b) the sum of: (i) the alternate benchmark rate that has been selected by the Agent and the Borrower giving due consideration to (A) any selection or recommendation of a replacement benchmark rate or the mechanism for determining such rate by the Relevant Governmental Body or (B) any evolving or then-prevailing market convention for determining a benchmark rate as a replacement to the then-current Benchmark for U.
⟦s000172⟧ S.
⟦s000173⟧ dollar-denominated syndicated credit facilities and (ii) the related Benchmark Replacement Adjustment.
⟦s000174⟧ If the Benchmark Replacement as determined pursuant to clause (a) or clause (b) above would be less than the Floor (which shall be calculated after increasing the Benchmark Replacement by any Benchmark Replacement Adjustment), then the Benchmark Replacement will be deemed to be the Floor for purposes of this Agreement and the other Loan Documents.
